,Id,Nombre
511,824,mejillon hervido
512,2232,melocoton
513,2233,melocoton en almibar
514,946,melocoton desecado
515,2234,melon
516,1006,membrillo crudo
517,2401,menestra de verduras congelada
518,872,menta fresca
519,2347,merluza fresca
520,825,merluza congelada cruda
521,2348,merluza rebozada frita
522,771,mermelada de albaricoque
523,2654,mermelada de albaricoque y melocoton baja en calorias
524,772,mermelada de ciruela
525,2655,mermelada de frambuesa
526,2656,mermelada de fresa
527,2657,mermelada de fresa baja en calorias
528,773,mermelada de grosella roja
529,774,mermelada de mora
530,775,mermelada de naranja
531,826,mero crudo
532,2349,mero plancha
533,2643,miel
534,2156,mijo
535,2157,miso
536,2601,mojo picon
537,2278,molleja de cordero
538,2280,morcilla
539,2281,morcilla frita
540,2282,mortadela
541,2600,mostaza
542,2496,mousse de chocolate
543,917,mousse de queso fresco con frutas
544,918,mousse de queso fresco desnatado azucarado
545,919,mousse de queso fresco desnatado con frutas
546,920,mousse de yogur con frutas
547,921,mousse de yogur natural
548,2158,muesli
549,827,mujol al horno
550,828,mujol crudo
551,880,nabo pelado crudo
552,1062,napolitana rellena con crema de cacao
553,2235,naranja
554,2555,nata montada
555,923,nata liquida para cocinar 18% de grasa
556,2497,natillas sabor vainilla
557,2350,necora
558,1106,nectar de albaricoque envasado
559,1027,nectar de ciruela
560,1057,nectar de frutas exoticas envasado
561,1061,nectar de mango envasado
562,1105,nectar de maracuya envasado
563,1104,nectar de melocoton
564,1103,nectar de naranja envasado
565,1101,nectar de pera envasado
566,1100,nectar de piña
567,1099,nectar de pomelo
568,2236,nectarina
569,881,niscalo crudo
570,956,nispero con piel crudo
571,2237,nispero conserva en su jugo
572,2238,nispero sin piel  congelado
573,2201,nuez
574,2599,nuez moscada
575,2202,nuez cruda con cascara
576,978,oca sin piel asada
577,2598,oregano seco
578,829,ostra cruda
579,2597,paella
580,2596,paella marinera
581,2159,palmera
582,882,palmito en conserva
583,830,palometa cruda
584,871,palomitas de maiz sin aceite sin sal
585,2160,pan blanco de barra
586,1064,pan blanco de barra sin sal
587,2161,pan blanco de molde tostado
